start	end	text
0	20320	Yeah, hello, today I show you how to use GIMP, this software, graphic software or Photoshop
20320	36440	can also be used to find out whether two antenna diagrams are identical or have differences
36440	38560	in it.
38560	44240	With this tool you open one of the files.
44240	63560	In this case it will be the technical data from Huawei.
63560	72200	So this technical data sheet consists of five pages, but we just use the last one in this
72200	76960	case, because here you can see the diagrams.
76960	84160	The other pages contain just tables.
84160	93880	So we mark this just to select one page and import that.
93880	97120	Now it is here.
97120	121320	So next I open a second file and you use open as levels.
121320	132360	And you open the Standout Datenblatt, a data sheet for this antenna, and here we have the
132360	134680	same problem.
134680	137960	Which pages are we interested in?
137960	147720	You should prepare this before you open, that you know what you want to look at.
147720	167520	So I open this again in another viewer, there we are, here's the viewer, and I orient myself
167520	171920	where these diagrams are, which I'm interested in.
171920	196920	What's these pages? Page 20 to 27, 8 pages. So I can close this and select 20 to 27.
196920	218880	So, they will be opened as levels, this is German, in English it will be shown as levels,
218880	247320	you import. After this, the levels or pages will be shown here at the right and the problem
247320	262680	is that these pages are in landscape mode. So you open image, adjust to the
262680	265320	levels.
265320	271920	Now we can see this.
271920	278400	So you see the first image and behind this the second and so on.
278400	295840	So you switch off all the other images and drag the one from the data sheet whereby to
295840	300840	to the top, and then you'll see here are several images.
325840	355560	And we want to compare this, and we compare this one.
355840	374200	For the first step, what we do, we get rid of the white background of this image that
374200	387800	works like this. Level. Now colors. And look out that you mark this page here. And then
387800	400440	colors. Color to alpha. Choose white which is default and say okay. Now the color is
400440	410440	gone. You will see this if you switch off this page. Now you see it has no background anymore.
414280	421720	And this is the image we want to compare it with to the right. This one.
421720	443040	so we cut out which frequency this is about the frequency this is here
443040	455280	frequency 700 to 900 and something that is this image so we look in this image
455280	468840	for the same 690 to 960 that is the one we need so we cut this out make sure
468840	479840	that we are talking about this image. So click here and now draw a rectangle.
479840	508040	and with copy we copy this and now we can paste it as a new level paste there we are
508040	519520	Create a new level, but not level, I always use the wrong word, it's layers, not level.
519520	536400	To a new layer, switch off this image, switch on this, and drag this layer over this one.
536400	548800	So, first to the side.
548800	555680	Then we see that the orientation of this is towards the top and here it is towards the
555680	556680	right.
556680	559100	But it should be the same.
559100	566100	So we have to turn this one to the right to make it similar.
566100	572100	Transformation, turn 90%.
572100	579100	Now it has the right, the correct orientation.
579100	581100	But it has a different size.
581100	586100	We have to adjust the size too.
586100	589100	And for this we have to measure the size.
597100	600100	Use the measure tool.
600100	603100	Click here on one end.
607100	608100	Draw down.
608100	614100	And at the bottom you can read the size 163.
616100	635580	We put 163 into the calculator, by, and then you measure this thing, that is 295, it's
635580	644140	down here, by 295.
644140	663020	55 percent or if you take the reverse value, 181 percent. So you go here, say
663020	676780	scale level change this to percent 181 percent scale it now it has the same
676780	682140	size now you can draw it over
682140	701260	And look that the middle point is exactly on the other midpoint, like this.
701260	712100	And now we find the fault as expected, because this, which I switch on and off, is the original
712100	733100	original data, and this is the given data.
742100	762300	And the stunt or dark blood.
762300	770420	So we add another layer, now this goes by automatic, the new layer.
770420	786740	Now we add a text field, find space where we could write some text, choose color, let's
786740	803740	Let's say blue, and write blue, the other one, who am I?
833740	847380	Okay, that's this part.
847380	861060	Now we take care about the, this is the horizontal part, horizontal, you see it here, now we
861060	871300	take care about the vertical part. The vertical diagram is this, or from Huawei it's in red.
871300	894300	So we go back to the worldwide, this one, make a copy of it, that is here, yeah, copy,
894300	912940	Switch this off, take the copy, draw this to the, here towards this, now we have to
912940	933380	turn it back. This one. Level. Transformation. Back. And now we can put it on top. If you
933380	937380	We want to be very precise, to size it up.
945380	947380	There we are.
955380	958380	So, and again, we need a text field.
958380	975020	For this, we could just copy this one, same as here, copy and move it down here and change
975020	983060	the text.
983060	1005060	Mark the text icon, and this is red, red diagram, black, stand on top, stand on four, vertical.
1005060	1016260	Let's change it to vertical and blue, keep that blue, and here we change, add the text
1016260	1044020	Torisonto, Torisonto, also in German, no, yeah, now, switch this on again, if you want
1044020	1064020	to do it very nice then we should delete most of the red things so we go to this
1064020	1088420	level take the rubber and delete the red line because this is confusing here in this diagram.
1088420	1095460	If you delete some of these dots, it doesn't matter, and if you delete it too much, like
