1,Berechnung der kritischen Feldstärke beim OMEN 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Zusatzblatt 2 (Daten der Antenne),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Adresse,Wehntalerstrasse 464 / 8046 Zurich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Höhenkote 0 (d.h. wie hoch ist das Fundament über Meer) [m],462.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Zone Antenne,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Antennendaten,Strahl A,Strahl B,Strahl C,Strahl A,Strahl B,Strahl C,Strahl A,Strahl B,Strahl C,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
40,Laufnummer n,1,2,3,4,5,6,7,8,9,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
42,Antennenmast,1,2,3,1,2,3,1,2,3,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
50,Nr. der Antenne,1SC,2SC,3SC,1SC,2SC,3SC,1SC,2SC,3SC,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
60,Frequenzband [MHz],700-900,700-900,700-900,1800-2600,1400-2600,1400-2600,3600,3600,3600,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
70,Netzbetreiber,Swisscom,Swisscom,Swisscom,Swisscom,Swisscom,Swisscom,Swisscom,Swisscom,Swisscom,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
80,Antennen-Typ,HybridAIR3268,HybridAIR3268,HybridAIR3268,HybridAIR3268,HybridAIR3268,HybridAIR3268,HybridAIR3268,HybridAIR3268,HybridAIR3268,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
90,Adaptiver Betrieb mit KAA < 1,nein,nein,nein,nein,nein,nein,ja,ja,ja,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
100,Anzahl Sub-Arrays,0,1,1,1,1,1,16,16,16,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
101,Korrekturfaktor,1,1,1,1,1,1,5,5,5,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
111,Distanz x zum Koordinaten- Nullpunkt (in m) gem. StDB,0.32,0.47,-0.54,0.32,0.47,-0.54,0.32,0.47,-0.54,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
112,Distanz y zum Koordinaten- Nullpunkt (in m) gem. StDB,0.52,-0.40,-0.29,0.52,-0.40,-0.29,0.52,-0.40,-0.29,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!
